conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,80E+18;Fri May 31 01:03:03 +0000 2024;24;-jualaness HALOO PECINTA BUKU!!! Siapa yang mau beli buku tapi males ke Gramedia nya? Yuk beli di bazar buku kami ajaï¸ Yuk ramaikan! Tidak usah jauh jauh cukup ke B1 FBS UNNES hari ini pukul 09.00!!!! Jangan lupa miliki satu buku dari bazar kami yaa!!!!;1,80E+18;https://pbs.twimg.com/media/GO3num3bAAANwKW.jpg;;in;BACA RULESâž¡ï¸;2;7;5;https://x.com/unnesmenfess/status/1796346620243816854;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 03:40:35 +0000 2024;0;-ness barangkali ada yg butuh loker part time mau open 2 staff https://t.co/N3wtYe8p2V;1,80E+18;https://pbs.twimg.com/media/GO4LyX_akAAZJY0.jpg;;in;BACA RULESâž¡ï¸;0;1;0;https://x.com/unnesmenfess/status/1796386266357133737;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 14:50:14 +0000 2024;4;hi ness! udah nyiapin apa aja nih buat sidang/wisuda/ultah orang tersayang? kamu bisa pesan buket di fisa florist yang fleksibel dalam pemesanan bisa antar sampai tujuan semua perlu dirayakan!! -jualaness https://t.co/gcKZ2Nmbp1;1,80E+18;https://pbs.twimg.com/media/GO6lDOyaoAEAP_R.jpg;;in;BACA RULESâž¡ï¸;0;0;1;https://x.com/unnesmenfess/status/1796554787904962761;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 03:10:45 +0000 2024;121;-ness sarapan akhir bulan janlup sarapan all https://t.co/F8zKGMGWsK;1,80E+18;https://pbs.twimg.com/media/GO4E9S4aQAAY8hm.jpg;;in;BACA RULESâž¡ï¸;1;17;1;https://x.com/unnesmenfess/status/1796378757097472480;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 08:41:00 +0000 2024;4;-jualaness tiket unfest pertiket 100k boleh negoï¸ https://t.co/bYP7GE6YWT;1,80E+18;https://pbs.twimg.com/media/GO5Qi1Sa8AAGtPT.jpg;;in;BACA RULESâž¡ï¸;0;7;0;https://x.com/unnesmenfess/status/1796461865368953070;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 06:56:44 +0000 2024;2;-jualaness yukk siapa yg mau mie lidi nyaaa only 10k (100 gram). Ada rasa asin gurih dan pedas yaaa. Pastinya free ongkir seluruh unnesï¸ yg mau rep aja yaaï¸ https://t.co/dYIdh60bNc;1,80E+18;https://pbs.twimg.com/media/GO44rk3bwAAiBpy.jpg;;in;BACA RULESâž¡ï¸;0;0;1;https://x.com/unnesmenfess/status/1796435627971604540;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 00:10:12 +0000 2024;0;-jualaness preloved serba 20k nihh https://t.co/OSLOjIZZMZ;1,80E+18;https://pbs.twimg.com/media/GO3boaqaMAEZKt8.jpg;;tl;BACA RULESâž¡ï¸;0;1;0;https://x.com/unnesmenfess/status/1796333319820648630;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 03:44:37 +0000 2024;1;-jualaness ready basreng dan pikca free anter sampe kos https://t.co/9XHlAzhcZ0;1,80E+18;https://pbs.twimg.com/media/GO4MtGcaEAA2ecA.jpg;;in;BACA RULESâž¡ï¸;0;0;0;https://x.com/unnesmenfess/status/1796387280728523090;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 10:13:47 +0000 2024;5;-jualaness wts tiket unfest banyak gabisa karna kkn harga miringâ€¼ï¸â€¼ï¸ https://t.co/AKdFxhbtbI;1,80E+18;https://pbs.twimg.com/media/GO5lyJhaoAEvrnn.jpg;;in;BACA RULESâž¡ï¸;0;15;0;https://x.com/unnesmenfess/status/1796485219157201132;1,19E+18;unnesmenfess
1,80E+18;Fri May 31 14:24:31 +0000 2024;2;-jualaness yukk diangkut edisi ngosongin lemariii https://t.co/x7yheMGyrk;1,80E+18;https://pbs.twimg.com/media/GO6fK7uaUAAHAlS.jpg;;in;BACA RULESâž¡ï¸;0;5;0;https://x.com/unnesmenfess/status/1796548315762540576;1,19E+18;unnesmenfess
