word;weight
bahasa;-3
bahaya;-4
bahenol;1
bahlul;-5
bahtera;-3
baiat;-3
baid;0
bain;3
bait;-3
bajak;-5
bajik;4
bajing;-5
baju;2
bakar;-4
bakat;4
bakh;4
bakir;4
baksis;2
baktau;-5
bakti;4
baku;-3
bakup;0
bala;-5
bala bencana;-5
balai;-3
balairung;-3
balas;-3
balela;-4
balesnya;-2
balig;1
balkon;-3
balung;-4
balur;-4
balut;-3
bambu;-3
bambung;-3
ban;-4
banal;-3
banat;-4
bancang;-5
banci;-5
bancut;0
bandang;-4
bandar;-4
bandel;-5
banding;-3
bandit;-5
bando;-4
bandung;3
bangai;-3
bangan;-3
bangang;-3
bangbung;-4
bangga;3
bangir;2
bangkai;-4
bangkang;-4
bangkit;2
bangkit selera;3
bangkot;-4
bangkrut;-5
bangle;-4
bangsal;-3
bangsat;-5
bangsawan;2
bangun;-5
banjir;-4
bantah;-3
bantah bantah;5
bantai;-4
bantal;3
bantar;-4
banteng;-3
banter;1
bantet;-3
banting;1
bantu;3
bantuin;3
banyol;-3
bapa;1
bapanda;3
bapang;3
baper;-4
baperan;-4
bapet;-4
bara;2
baran;-5
barbar;-5
bareng;3
baret;-3
baring;2
barkas;-5
barua;-5
barut;-3
barzakh;-4
basah;0
basah basah;1
basi;-5
baskom;-4
basmi;-5
bastar;-2
batal;-3
batalion;-5
batang;-4
batas;3
batel;-4
baterai;-3
batil;-4
batu;2
batu dahak;-4
batu loncat;-3
batuk;-4
batuk batuk;-4
batuk darah;-4
batuk kering;-3
batuk lelah;-4
batung batung;-4
bau;-4
bau kencur;-4
bau tanah;-4
baung;0
bausuku;3
bawa;1
bawa berat;-3
bawain;-3
bawang;-5
bawat;-5
bawel;-4
baya;1
bayan;3
bayang;2
bayang bayang;3
bayangkara;3
bayar;1
bebal;-3
beban;-5
bebas;-4
bebat;-3
bebel;-5
beber;-4
bebodoran;2
becek;-4
becus;-4
beda;-2
beda beda;-3
bedah;-3
bedegap;1
bedegong;-4
bedel;-4
bedeng;-3
bedol;-4
begadang;-3
begah;-2
begak;-3
begal;-5
begana;-4
begandering;0
begu;-4
beguk;-4
begundal;-3
bejat;-5
bekah;0
bekal;3
bekam;-4
bekap;-3
bekas;4
bekat;0
bekicot;-4
belacak;0
belagu;4
belah;-5
belah ketupat;-4
belai;-4
belaka;-1
belam;-3
belang;-5
belanja;-3
belas;-3
belati;-4
belau;0
belel;0
belembang;-5
belendung;-3
belenggu;3
belengset;0
beleter;-4
beli;0
belia;-1
beliin;-1
belikan;-1
beling;-1
belingsat;-4
belinjo;-3
belis;-4
belit;-3
belit belit;-4
beliut;0
beloh;-5
belok;3
belongkot;0
beloon;-3
belot;-5
belu belai;-4
belukar;3
belulang;-3
belus;1
bembam;-4
benah hati;-3
benak;3
benak kepala;-3
benam;-5
benang;4
benang raja;4
bencana;-5
bencat;-5
benci;-5
bencong;-5
bendawi;0
bendel;-5
bendera;-3
benderang;-3
bendoro;-4
bendu;-4
bendung;-3
benefaktif;0
bengal;-4
bengang;0
bengap;-3
bengis;-5
bengkak;-4
bengkak hati;-3
bengkerap;-4
bengkok;-4
bengong;-1
bengok;-4
benguk;-2
bening;-4
benjut;-4
benta;-5
bentak;-5
bentan;-4
bentang;-3
bentok;-4
bentrok;5
bentuk;3
bentul;-3
bentur;1
benyot;-4
beol;-5
berahi;5
berak;-4
berak air;-4
beranang;-3
beranda;-3
berandal;-5
berang;-5
berangai;-5
berangan;-3
berangkal;-3
berangkat;-4
berangsang;-5
berani berani;1
beranta;-5
berantak;-4
berantas;-5
berat ekor;-4
berat hati;-4
berat kepala;-5
berat otak;-4
berat pinggul;-2
berat tangan;-4
berat telinga;-3
berat tulang;-4
bercak;-5
berdaya;-2
beredak;-5
berengsek;-5
beres;2
bergajul;-5
bergas;5
berhala;-4
beril;4
beringas;-4
berita;-1
berjubal;-3
berkah;4
berkat;1
bernas;-3
berogak ogak;-4
beron;-4
bersih;2
bersikukuh;-4
bersitegang;4
bersiteguh;1
berus;-4
beset;-4
besi tua;-4
besit;-2
beslah;-4
besot;-3
